X;Y;0;OrientX;OrientY;OrientZ
131.962372;11.821781;-160.52;-99999.000000;-99999.000000;-99999.000000
14.458169;77.970123;-124.002;0.886999;0.210208;0.411151
79.952156;152.627808;-100.017;-99999.000000;-99999.000000;-99999.000000
198.267578;44.000000;-142;-99999.000000;-99999.000000;-99999.000000
161.978790;68.129913;-142.007;-99999.000000;-99999.000000;-99999.000000
117.933121;125.683228;-156.44;-99999.000000;-99999.000000;-99999.000000
67.418640;333.982697;-144.001;-99999.000000;-99999.000000;-99999.000000
199.987915;221.942688;-147.221;-99999.000000;-99999.000000;-99999.000000
190.509933;20.000000;-146;-99999.000000;-99999.000000;-99999.000000
147.966080;81.839348;-108.29;-99999.000000;-99999.000000;-99999.000000
57.946972;43.748848;-162.506;-0.001356;-0.050306;0.998733
101.923134;85.540276;-148.027;-99999.000000;-99999.000000;-99999.000000
268.000000;28.000000;-157.784;-99999.000000;-99999.000000;-99999.000000
1.999054;49.995518;-106.421;-99999.000000;-99999.000000;-99999.000000
248.504715;178.025482;-107.652;-99999.000000;-99999.000000;-99999.000000
278.000000;150.513199;-150;-99999.000000;-99999.000000;-99999.000000
158.441803;232.376404;-126.726;0.935230;-0.345176;0.078726
240.693466;18.000000;-98;-99999.000000;-99999.000000;-99999.000000
179.747147;75.968605;-142.002;-99999.000000;-99999.000000;-99999.000000
83.943367;23.731764;-102.222;-99999.000000;-99999.000000;-99999.000000
222.300034;92.000000;-158;-99999.000000;-99999.000000;-99999.000000
33.971603;35.163261;-166.01;-99999.000000;-99999.000000;-99999.000000
113.951050;63.768162;-97.0103;-99999.000000;-99999.000000;-99999.000000
218.000000;3.190521;-146;0.284114;-0.767720;0.574357
49.975529;155.809784;-138.009;-99999.000000;-99999.000000;-99999.000000
182.000000;4.000000;-161.102;-99999.000000;-99999.000000;-99999.000000
244.000000;192.000000;-155.792;-99999.000000;-99999.000000;-99999.000000
230.524231;26.000000;-118;-99999.000000;-99999.000000;-99999.000000
161.990906;27.956911;-163.953;-99999.000000;-99999.000000;-99999.000000
64.921783;83.711052;-134.021;-99999.000000;-99999.000000;-99999.000000
175.977356;161.892776;-152.333;-99999.000000;-99999.000000;-99999.000000
105.942047;47.725513;-104.481;-99999.000000;-99999.000000;-99999.000000
59.946098;80.173073;-148.019;-99999.000000;-99999.000000;-99999.000000
169.986435;76.895668;-118.005;-99999.000000;-99999.000000;-99999.000000
3.998686;45.993778;-174.34;-99999.000000;-99999.000000;-99999.000000
230.000000;46.094131;-78;-99999.000000;-99999.000000;-99999.000000
105.938728;266.298553;-110.022;-99999.000000;-99999.000000;-99999.000000
3.994865;11.975677;-172.555;-99999.000000;-99999.000000;-99999.000000
135.931763;153.616074;-116.024;-0.579629;0.754163;-0.308656
272.000000;297.119446;-142;-99999.000000;-99999.000000;-99999.000000
143.055099;61.798069;-138.015;-99999.000000;-99999.000000;-99999.000000
13.249644;75.978653;-114.002;-99999.000000;-99999.000000;-99999.000000
47.999996;396.000000;-135.125;-0.016145;0.096514;0.995201
73.943756;124.531517;-114.02;-99999.000000;-99999.000000;-99999.000000
278.000000;316.000000;-149.341;-99999.000000;-99999.000000;-99999.000000
139.954544;58.552116;-140.016;-99999.000000;-99999.000000;-99999.000000
255.010971;284.000000;-130;-0.565607;0.823650;-0.041097
53.945755;10.586864;-114.019;-99999.000000;-99999.000000;-99999.000000
109.638039;31.669096;-128.025;0.861077;-0.035415;-0.507239
125.931175;103.674019;-122.16;-99999.000000;-99999.000000;-99999.000000
45.992786;167.965836;-87.1054;-99999.000000;-99999.000000;-99999.000000
46.000000;374.000000;-138.529;-99999.000000;-99999.000000;-99999.000000
123.945847;85.743523;-103.747;-99999.000000;-99999.000000;-99999.000000
174.150681;77.957260;-112.003;0.203120;-0.978677;-0.030543
65.349785;53.698044;-122.022;-99999.000000;-99999.000000;-99999.000000
224.820160;56.000000;-106;0.034705;0.996767;0.072461
225.999985;224.000000;-150.926;-99999.000000;-99999.000000;-99999.000000
292.561432;112.000000;-108;-99999.000000;-99999.000000;-99999.000000
111.726433;31.689701;-154.023;-99999.000000;-99999.000000;-99999.000000
55.948910;71.758026;-149.522;-99999.000000;-99999.000000;-99999.000000
288.000000;194.900558;-122;-99999.000000;-99999.000000;-99999.000000
11.994610;51.974476;-167.349;-99999.000000;-99999.000000;-99999.000000
45.967392;73.845558;-162.842;-99999.000000;-99999.000000;-99999.000000
264.160583;318.000000;-148;-99999.000000;-99999.000000;-99999.000000
206.000000;28.000000;-108.915;-0.647908;-0.346783;-0.678201
194.000000;4.000000;-153.494;-0.339020;-0.143234;0.929812
177.977310;175.892548;-153.381;-99999.000000;-99999.000000;-99999.000000
129.945068;47.739830;-137.944;-99999.000000;-99999.000000;-99999.000000
266.000000;48.000000;-150.849;0.484467;0.128811;-0.865274
87.986595;365.936523;-140.506;-99999.000000;-99999.000000;-99999.000000
288.000000;334.000000;-168.442;-99999.000000;-99999.000000;-99999.000000
125.951920;87.772270;-169.247;-99999.000000;-99999.000000;-99999.000000
62.000000;384.000000;-136.339;0.021084;-0.371861;0.928049
175.999664;1.998385;-163.646;-99999.000000;-99999.000000;-99999.000000
165.924789;324.872803;-112.026;-99999.000000;-99999.000000;-99999.000000
115.773621;111.633080;-126.027;-99999.000000;-99999.000000;-99999.000000
258.000000;113.750755;-108;-99999.000000;-99999.000000;-99999.000000
18.000000;201.999985;-120.398;-99999.000000;-99999.000000;-99999.000000
5.996165;35.981838;-169.286;-99999.000000;-99999.000000;-99999.000000
145.942932;159.753418;-148.02;-99999.000000;-99999.000000;-99999.000000
57.658085;75.743271;-142.019;-99999.000000;-99999.000000;-99999.000000
115.926125;89.934753;-144.026;-99999.000000;-99999.000000;-99999.000000
201.445114;36.000000;-94;-99999.000000;-99999.000000;-99999.000000
