X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series,smooth
625.5949999997392,139.41100000031292,47.399,0.4960640201355469,0.38674013530487195,0.5020094584681927,0.01339004360369981,0.23767274939767633,0.9712529901773713,13.771456825793582,3.2245297081254862,1.0,verwKeuper,Sand,4,4,0
600.9490000000224,-70.26400000043213,49.012,0.4853538441213146,0.2956236800659715,0.5027104044193067,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,verwKeuper,Sand,4,4,0
600.4189999997616,-175.0219999998808,51.649,0.48512352710068646,0.2501,0.503856340236472,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,verwKeuper,Sand,4,4,0
618.6540000000969,-71.05099999997765,48.12299999999999,0.4930477362877903,0.2952816810187253,0.5023240802094243,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,verwKeuper,Sand,4,4,0
604.6789999995381,134.7620000001043,48.82499999999999,0.48697475447302924,0.38471986393049185,0.5026291416215024,0.01339004360369981,0.23767274939767633,0.9712529901773713,13.771456825793582,3.2245297081254862,1.0,verwKeuper,Sand,4,4,0
638.0230000000447,135.9320000000298,48.07899999999995,0.5014647369865443,0.38522829961725635,0.5023049595511173,0.01339004360369981,0.23767274939767633,0.9712529901773713,13.771456825793582,3.2245297081254862,1.0,verwKeuper,Sand,4,4,0
595.1260000001639,273.58399999979883,46.75599999999997,0.4828233988186255,0.44504641000943235,0.5017300361206625,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,verwKeuper,Sand,4,4,0
603.6339999996126,400.3650000002235,45.57299999999998,0.48652063883827296,0.500140414118843,0.5012159511484567,0.03789560100556672,0.023873760767760367,0.9989964799604412,2.567065679739541,57.78957867496363,1.0,verwKeuper,Sand,4,4,0
609.6480000000447,500.36799999978393,43.47300000000001,0.48913408518067986,0.5435977594064707,0.5003033742747187,0.05973471312233835,-0.005356569790639662,0.9981999154529994,3.438343414557728,95.12415872271119,1.0,verwKeuper,Sand,4,4,0
635.4620000002906,398.74299999978393,41.83600000000001,0.5003518277611069,0.49943555712379345,0.4995919988736192,0.04732319155804519,0.02547379196093963,0.9985547563684397,3.080778547862112,61.706684603820236,1.0,verwKeuper,Sand,4,4,0
641.445000000298,499.20000000018626,40.96700000000004,0.5029518027304312,0.5430901928406808,0.4992143658720581,0.043604320289520555,-0.011942820555156074,0.9989774933857807,2.591240399973425,105.31714830693734,1.0,verwKeuper,Sand,4,4,0
708.5650000004098,381.61600000038743,40.62099999999998,0.5321194978568099,0.49199284087809836,0.49906400796809935,0.0688558375042172,0.038797771751352975,0.9968719108044582,4.533049575377447,60.600314990019086,1.0,verwKeuper,Sand,4,4,0
672.4610000001267,561.070000000298,43.173,0.5164301285950507,0.5699764457827146,0.500173006149899,0.025545462472858233,-0.004606206319836964,0.9996630493383398,1.4874178296071696,100.22140294261597,1.0,verwKeuper,Sand,4,4,0
662.3590000001714,791.1310000000522,40.84700000000004,0.5120401992719743,0.6699518496630998,0.4991622186221302,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,verwKeuper,Sand,4,4,0
601.2889999998733,350.0590000003576,45.34300000000002,0.4855015946627122,0.47827941782829997,0.5011160022527616,0.055423114185027926,0.053861145256379375,0.9970091551474927,4.4324400920877265,45.81885657217033,1.0,Sandstein,Sand,5,4,0
605.9550000000745,451.2609999999404,43.035000000000025,0.48752925356416216,0.5222578010548001,0.500113036812482,0.03967933647134296,0.018424199385799863,0.9990425912523953,2.507384760336232,65.09327081382935,1.0,Sandstein,Sand,5,4,0
610.6409999998286,552.6100000003353,41.674000000000035,0.48956560367373925,0.5663000646628148,0.49952160008621654,-0.0045402284077745115,-0.008367625140681241,0.9999546835619524,0.5454653379693153,208.48401970327257,1.0,Sandstein,Sand,5,4,0
615.1390000004321,450.65199999976903,41.660000000000025,0.49152025642546504,0.5219931537613416,0.49951551624039164,0.038661383224881454,0.0184890407028598,0.9990813044107768,2.4561602605574993,64.44146536304652,1.0,Sandstein,Sand,5,4,0
