X,Y,Z,azimuth,dip,polarity,G_x,G_y,G_z,formation,uncertainty
789850.785,6350187.286,298.120136,346.0,21.0,1,-0.08669705367516517,0.3477228898790968,0.9335804264982016,Triassic,a
789303.454,6350033.958,266.269218,346.0,20.0,1,-0.08274216140561587,0.3318606833702001,0.9396926207869084,Triassic,a
790721.838276,6350177.473908002,414.074573,344.0,18.0,1,-0.08517662723102692,0.29704620008762384,0.9510565162961536,Triassic,a
790798.94,6350513.085,383.779044,210.0,20.0,1,-0.17101007166183438,-0.2961981327250238,0.9396926207869084,Triassic,a
790665.8790000001,6350435.616,370.89052,201.0,25.0,1,-0.15145283989941355,-0.39454813704038827,0.90630778703765,Triassic,a
790501.005,6350459.914,359.11521,201.0,10.0,1,-0.062229941371775864,-0.16211453976575468,0.9848077530132081,Triassic,a
790372.3690000001,6350491.5770000005,357.779977,201.0,17.0,1,-0.1047766483255512,-0.2729525007897666,0.9563047559640354,Triassic,a
791160.190925,6349043.884522,244.204651,155.0,35.0,1,0.24240387650710404,-0.5198367907246845,0.8191520442899918,Triassic,a
792032.843,6348489.887999999,209.218454,118.0,32.0,1,0.4678909387652818,-0.24878202512891215,0.8480480961574259,Triassic,a
789521.823,6350223.467999999,292.733852,337.0,38.0,1,-0.2405581030203657,0.5667193761219582,0.7880107536077219,Triassic,a
789496.0809999999,6350232.017000001,291.382063,349.0,30.0,1,-0.09540449768727233,0.4908135917248319,0.8660254037854387,Triassic,a
789481.955,6350237.637,291.250465,333.0,50.0,1,-0.34777689955328783,0.6825505966382543,0.6427876096875393,Triassic,a
790231.413,6350389.021000001,340.818356,245.0,15.0,1,-0.2345697160088045,-0.10938165494561493,0.9659258262900684,Triassic,a
790315.687,6350406.146000001,338.540448,240.0,13.0,1,-0.19481332766888085,-0.1124755271709326,0.9743700647862352,Triassic,a
791547.183,6348153.932999999,235.747864,174.0,17.0,1,0.030561164998611893,-0.2907700619319093,0.9563047559640354,Triassic,a
790881.464,6348333.194,373.178653,220.0,35.0,1,-0.3686878264936123,-0.43938504176970505,0.8191520442899918,Triassic,a
790839.940497,6350527.809716,389.015214,220.0,35.0,1,-0.3686878264936123,-0.43938504176970505,0.8191520442899918,Triassic,a
791291.231373,6350501.674591,400.781925,267.0,35.0,1,-0.5727903697784316,-0.03001867127385228,0.8191520442899918,Triassic,a
791349.204192,6350435.635419,398.098938,220.0,35.0,1,-0.3686878264936123,-0.43938504176970505,0.8191520442899918,Triassic,a
791461.734,6350375.926,385.015301,270.0,31.0,1,-0.5150380749090542,9.999053890405184e-13,0.8571673007031123,Triassic,a
